,Match_ID,TeamColor,killing_team,kills_sum,assist_sum
501,119e130aa6980daa,Blue,OG,4,8
502,119e130aa6980daa,Red,VIT,14,34
503,11a78aa664d9e027,Blue,ahq,32,74
504,11a78aa664d9e027,Red,LGS,15,32
505,11bb6f2851c54b92,Blue,HKES,15,48
506,11bb6f2851c54b92,Red,ahq,23,80
507,11c836ca43650726,Blue,kt,11,34
508,11c836ca43650726,Red,CJE,11,44
509,11cdb2da27970673,Blue,EMF,4,14
510,11cdb2da27970673,Red,LZ,8,32
511,11df9e8fe3eaeb24,Blue,SPY,16,70
512,11df9e8fe3eaeb24,Red,S04,10,40
513,11e3596513c3460b,Blue,kt,16,46
514,11e3596513c3460b,Red,CJE,4,18
515,1208f907001325de,Blue,MVP,13,46
516,1208f907001325de,Red,kt,14,48
517,122017eb8551ee91,Blue,JAG,11,32
518,122017eb8551ee91,Red,SSG,14,48
519,1221b7d9c7892d66,Blue,SK,18,34
520,1221b7d9c7892d66,Red,UOL,21,82
521,122e274a5417860d,Blue,HKE,20,60
522,122e274a5417860d,Red,M17,9,30
523,123c6b03d4f4bcb6,Blue,FW,4,8
524,123c6b03d4f4bcb6,Red,AS,12,14
525,12483662b0a3c3d7,Blue,ESC,10,10
526,12483662b0a3c3d7,Red,SKT,10,44
527,12516475741700a3,Blue,APX,14,58
528,12516475741700a3,Red,NRG,8,26
529,1280988e96d673a7,Blue,CLG,17,48
530,1280988e96d673a7,Red,TL,8,16
531,1282b1f45095d591,Blue,SK,22,64
532,1282b1f45095d591,Red,EL,9,24
533,128e35daaf0a5e80,Blue,LZ,8,32
534,128e35daaf0a5e80,Red,SSG,15,42
535,129244fa5493bfd3,Blue,IMT,20,74
536,129244fa5493bfd3,Red,TSM,6,18
537,1297109bc8944711,Blue,ROX,7,24
538,1297109bc8944711,Red,KDM,13,32
539,12a38a55a9d5cf18,Blue,FNC,7,28
540,12a38a55a9d5cf18,Red,KOO,24,76
541,12b64c7abc882555,Blue,RED,8,26
542,12b64c7abc882555,Red,CNB,4,12
543,12c492ad170a9c08,Blue,APX,15,24
544,12c492ad170a9c08,Red,IMT,24,86
545,12da6b98a5913c2b,Blue,JAG,6,16
546,12da6b98a5913c2b,Red,SKT,15,68
547,12f4f92aabaf3430,Blue,FW,28,58
548,12f4f92aabaf3430,Red,XG,25,72
549,130401184ab40e7d,Blue,CJE,14,54
550,130401184ab40e7d,Red,JAG,5,14
551,131a690ccfe38b23,Blue,CW,18,70
552,131a690ccfe38b23,Red,H2K,12,40
553,1350ea1e25288b69,Blue,NV,11,24
554,1350ea1e25288b69,Red,TSM,16,44
555,1358d3ae04858e4e,Blue,VIT,1,0
556,1358d3ae04858e4e,Red,SPY,13,26
557,135965dfce5b09eb,Blue,C9,21,50
558,135965dfce5b09eb,Red,CLG,7,18
559,1367042b3d690fc4,Blue,SKT,15,48
