,match_id,red_or_blue_side,team_name,kills,deaths,assists,kda_ratio
283,0a41b33180c32724,Blue,SSB,3.0,28.0,10.0,0.4642857142857143
284,0a41b33180c32724,Red,SSW,28.0,3.0,52.0,26.666666666666668
285,0a5108ce4179f9da,Blue,ROC,5.0,16.0,10.0,0.9375
286,0a5108ce4179f9da,Red,SPY,16.0,5.0,38.0,10.8
287,0a63abe984bfef2d,Blue,FW,22.0,21.0,50.0,3.4285714285714284
288,0a63abe984bfef2d,Red,HKE,21.0,22.0,61.0,3.727272727272727
289,0a6dd1a22f416be4,Blue,LZ,12.0,16.0,36.0,3.0
290,0a6dd1a22f416be4,Red,SSG,16.0,12.0,47.0,5.25
291,0a832eea1bca60d1,Blue,TIP,18.0,0.0,39.0,57.0
292,0a8b4c4177376b12,Blue,ahq,25.0,16.0,57.0,5.125
293,0a8b4c4177376b12,Red,HKE,16.0,25.0,35.0,2.04
294,0aa7038786e19c70,Blue,HKE,9.0,5.0,19.0,5.6
295,0aa7038786e19c70,Red,XG,5.0,9.0,12.0,1.8888888888888888
296,0ab93222dccf8784,Blue,MSE,15.0,5.0,51.0,13.2
297,0ab93222dccf8784,Red,TM,5.0,15.0,14.0,1.2666666666666666
298,0abe526de3932809,Blue,GV,21.0,4.0,48.0,17.25
299,0abe526de3932809,Red,T8,4.0,21.0,9.0,0.6190476190476191
300,0ac141320e5d0d1a,Blue,TSM,18.0,4.0,43.0,15.25
301,0ac141320e5d0d1a,Red,TIP,4.0,18.0,12.0,0.8888888888888888
302,0aef51a0dbe55dd0,Blue,PNG,21.0,12.0,57.0,6.5
303,0aef51a0dbe55dd0,Red,KBM,12.0,21.0,35.0,2.238095238095238
304,0b096f92735d1c44,Blue,UOL,4.0,18.0,5.0,0.5
305,0b096f92735d1c44,Red,FNC,18.0,4.0,45.0,15.75
306,0b2f5db5a1e87c90,Blue,C9,13.0,25.0,28.0,1.64
307,0b2f5db5a1e87c90,Red,TL,25.0,13.0,71.0,7.384615384615385
308,0b4828b263b93d18,Blue,C9,16.0,4.0,38.0,13.5
309,0b4828b263b93d18,Red,IMT,4.0,16.0,8.0,0.75
310,0b4c26291a757a2d,Blue,ESC,15.0,4.0,39.0,13.5
311,0b4c26291a757a2d,Red,CJE,4.0,15.0,9.0,0.8666666666666667
312,0b5a9e07d29c35e5,Blue,IMT,15.0,12.0,34.0,4.083333333333333
313,0b5a9e07d29c35e5,Red,FOX,12.0,15.0,19.0,2.066666666666667
314,0b8625c860215a9f,Blue,OG,16.0,12.0,45.0,5.083333333333333
315,0b8625c860215a9f,Red,ROC,12.0,16.0,33.0,2.8125
316,0c01aad38de177d7,Blue,SSB,2.0,25.0,5.0,0.28
317,0c01aad38de177d7,Red,SKT,25.0,2.0,63.0,44.0
318,0c16aabec2ec129b,Blue,SSB,7.0,29.0,12.0,0.6551724137931034
319,0c16aabec2ec129b,Red,C9,29.0,7.0,61.0,12.857142857142858
320,0c28ee7d01a09cc3,Blue,XG,2.0,12.0,5.0,0.5833333333333334
321,0c28ee7d01a09cc3,Red,JT,12.0,2.0,34.0,23.0
322,0c4a30175b46ac73,Blue,kt,15.0,20.0,34.0,2.45
323,0c4a30175b46ac73,Red,ANC,20.0,15.0,56.0,5.066666666666666
324,0c602571c60cc7ae,Blue,CJE,13.0,3.0,41.0,18.0
325,0c602571c60cc7ae,Red,SKT,3.0,13.0,4.0,0.5384615384615384
326,0c657fe1e7da84ea,Blue,SSG,3.0,16.0,4.0,0.4375
327,0c657fe1e7da84ea,Red,kt,16.0,3.0,37.0,17.666666666666668
328,0c6d2faf595809fa,Blue,FNC,22.0,9.0,47.0,7.666666666666667
329,0c6d2faf595809fa,Red,GIA,9.0,22.0,24.0,1.5
330,0c747713dc79bc86,Blue,G2,23.0,8.0,40.0,7.875
331,0c747713dc79bc86,Red,SPY,8.0,23.0,18.0,1.1304347826086956
332,0c8bb595be5bb54e,Blue,GIA,6.0,15.0,10.0,1.0666666666666667
333,0c8bb595be5bb54e,Red,SPY,15.0,6.0,31.0,7.666666666666667
334,0c911a50844a8d37,Blue,ahq,31.0,9.0,78.0,12.11111111111111
335,0c911a50844a8d37,Red,HKE,9.0,31.0,25.0,1.096774193548387
336,0c93d2340007ebf9,Blue,JAG,5.0,14.0,8.0,0.9285714285714286
337,0c93d2340007ebf9,Red,SSG,14.0,5.0,34.0,9.6
338,0c99f9a27d6a1a69,Blue,H2K,16.0,7.0,41.0,8.142857142857142
339,0c99f9a27d6a1a69,Red,GIA,7.0,16.0,13.0,1.25
